name,startByte,endByte,startNibble,endNibble,format,description
surveyAreaName,1,31,1,62,ascii,Survey area name.
headerBlockType,32,32,63,64,ubin,Header block type. Set to 11 (hex) / 17 (decimal) for General Header Block 5.
