name,startByte,endByte,startNibble,endNibble,format,description
timeZero,1,8,1,16,timestamp,Time Zero for SEG-D timestamp in number of microseconds since the GPS epoch (6 January 1980).
recordSize,9,16,17,32,ubin,Total size of SEG-D record in number of bytes. May be zero if unknown.
dataSize,17,24,33,48,ubin,Total size of headers and data in this record in number of bytes. Enables skipping of all traces to beginning of trailer.
headerSize,25,28,49,56,ubin,Total size of headers. Enables skipping of all headers to beginning of first trace.
extendedRecMode,29,29,57,58,ubin,Set to 1 if record is using Extended Recording Mode and 0 for normal record.
relativeTimeMode,30,30,59,60,ubin,Set to 1 if record does not contain absolute timestamps or 0 for normal record. If 1 then timeZero must be set to 0. 
unused,31,31,61,62,ubin,Currently unusued and can't take any value
headerBlockType,32,32,63,64,ubin,Must be set to 3 for GHB3.
